concept_id,placement,art_source,target_mm,default_method,thread_order,notes,status
GP-01,front,source-art/circuit-leaf.svg,46x45,flat satin with optional shallow outer-border foam,"antique gold",Owner-approved restrained scale; internal traces and nodes stay flat; foam trial limited to outer leaf border,digitizer_required
GP-01,right,source-art/gpai-monogram.svg,34x14,flat satin,"antique gold",Font-independent monoline mark,digitizer_required
GP-01,left,source-art/branching-path.svg,31x17,flat satin,"antique gold",Keep open node centers,digitizer_required
GP-01,back,source-art/growpathai-wordmark.svg,42x7,flat satin,"antique gold",Convert approved lettering to curves before digitizing,digitizer_required
GP-02,front,source-art/circuit-leaf.svg,46x45,flat tonal satin,"dark olive",Owner-approved restrained scale; match approved physical thread swatch,digitizer_required
GP-02,right,source-art/gpai-monogram.svg,34x14,flat tonal satin,"dark olive",Small side mark from approved reference,digitizer_required
GP-02,left,source-art/branching-path.svg,31x17,flat tonal satin,"dark olive",Keep open node centers,digitizer_required
GP-02,back,source-art/growpathai-wordmark.svg,42x7,flat tonal satin,"dark olive",Single small wordmark centered above opening,digitizer_required
GP-03,front,source-art/circuit-leaf.svg,46x45,flat tonal satin,"low-sheen black; deep-forest node accents",Owner-approved restrained scale; node accents must remain sparse,digitizer_required
GP-03,right,source-art/gpai-monogram.svg,34x14,flat tonal satin,"low-sheen black",Small side mark from approved reference,digitizer_required
GP-03,left,source-art/branching-path.svg,31x17,flat tonal satin,"low-sheen black",Keep open node centers,digitizer_required
GP-03,back,source-art/growpathai-wordmark.svg,42x7,flat tonal satin,"low-sheen black",Single small wordmark centered above opening,digitizer_required
GP-04,front,custom approved script artwork derived from approved concept,100x29,flat satin,"white; GrowPath blue",Owner-approved midpoint scale; original script treatment; no front circuit leaf; convert lettering to curves and avoid center-seam damage,digitizer_required
GP-04,right,source-art/gpai-monogram.svg,34x14,flat satin,"white; GrowPath blue",Small side mark from approved reference,digitizer_required
GP-04,left,source-art/branching-path.svg,31x17,flat satin,"GrowPath blue",Keep open node centers,digitizer_required
GP-04,back,source-art/growpathai-wordmark.svg,42x7,flat satin,"white; GrowPath blue",Single small wordmark centered above opening,digitizer_required
GP-05,front,custom approved athletic-script artwork derived from approved concept,100x29,flat satin with restrained inline/shadow,"white; signal red",Original GrowPathAI treatment only; no copied team script; convert lettering to curves,digitizer_required
GP-05,right,source-art/gpai-monogram.svg,34x14,flat satin,"white; signal red",Small side mark from approved reference,digitizer_required
GP-05,left,source-art/branching-path.svg,31x17,flat satin,"white; signal red",Keep open node centers,digitizer_required
GP-05,back,source-art/growpathai-wordmark.svg,42x7,flat satin,"white; signal red",Single small wordmark centered above opening,digitizer_required
GP-06,front,source-art/circuit-leaf.svg plus source-art/growpathai-wordmark.svg,106x55,flat satin,"white; GrowPath blue; circuit lime",Owner-approved clean leaf and wordmark; no shield wings flames burst or decorative frame,digitizer_required
GP-06,right,source-art/gpai-monogram.svg,34x14,flat satin,"white; GrowPath blue",Small side mark from approved reference,digitizer_required
GP-06,left,source-art/branching-path.svg,31x17,flat satin,"GrowPath blue",Keep open node centers,digitizer_required
GP-06,back,source-art/growpathai-wordmark.svg,42x7,flat satin,"white; GrowPath blue",Single small wordmark centered above opening; no arch slogan,digitizer_required
GP-07,front,source-art/circuit-leaf.svg,46x45,flat satin,"black",Owner-approved emblem-only front on the white crown; no front wordmark,digitizer_required
GP-07,right,source-art/gpai-monogram.svg,34x14,flat satin,"black",Small side mark from approved reference,digitizer_required
GP-07,left,source-art/branching-path.svg,31x17,flat satin,"black",Keep open node centers,digitizer_required
GP-07,back,source-art/growpathai-wordmark.svg,42x7,flat satin,"black",Single small wordmark centered above opening,digitizer_required
GP-08,front,source-art/circuit-leaf.svg plus source-art/growpathai-wordmark.svg plus source-art/sprouting-path.svg,108x58,flat satin,"circuit lime; white; GrowPath blue; violet",Retain green circuit leaf and attach the two upward leaves to the violet path; no shield burst or fronds,digitizer_required
GP-08,right,source-art/gpai-monogram.svg,34x14,flat satin,"white; GrowPath blue",Small side mark from approved reference,digitizer_required
GP-08,left,source-art/branching-path.svg,31x17,flat satin,"GrowPath blue",Keep open node centers,digitizer_required
GP-08,back,source-art/growpathai-wordmark.svg,42x7,flat satin,"white; GrowPath blue",Single small wordmark centered above opening; no arch slogan,digitizer_required
GP-09,front,source-art/circuit-leaf.svg,46x45,flat tonal satin,"dark olive",Owner-approved emblem-only front; BLV550 nylon; do not stretch crown,digitizer_required
GP-09,right,source-art/gpai-monogram.svg,34x14,flat tonal satin,"dark olive",Small side mark from approved reference,digitizer_required
GP-09,left,source-art/branching-path.svg,31x17,flat tonal satin,"dark olive",Keep open node centers,digitizer_required
GP-09,back,source-art/growpathai-wordmark.svg,42x7,flat tonal satin,"dark olive",Single small wordmark centered above opening,digitizer_required
GP-09,blank modification,factory 5 mm rope removal,n/a,decorator-specific,"n/a",Remove rope cleanly without holes residue puckering or seam damage; durability proof required,decorator_confirmation_required
GP-11,front,source-art/growpathai-wordmark.svg plus source-art/sprouting-path.svg,108x38,flat satin,"dark forest; burgundy",Dark GrowPath burgundy AI and attached two-leaf path; convert lettering to curves,digitizer_required
GP-11,right,source-art/gpai-monogram.svg,34x14,flat satin,"dark forest; burgundy",Small side mark from approved reference,digitizer_required
